
=== 涨幅榜前20名股票 ===

     股票代码                       公司名称  市值(亿)                            板块                           昨天收盘                           今天收盘  涨跌幅(%)
666     THQQD                                   Embracer Group AB    530.79                             Media  2025-01-23 17.200000762939453               2025-01-24 18.25       6.10
3904      NEE                                  Nextera Energy Inc   1497.68                         Utilities    2025-01-23 69.2300033569336   2025-01-24 72.83000183105469       5.20
4142     IBKR                       Interactive Brokers Group Inc    925.28                Financial Services   2025-01-23 208.5500030517578  2025-01-24 218.99000549316406       5.01
1852    NETTF                                         NetEase Inc    628.03                             Media   2025-01-23 18.11199951171875  2025-01-24 18.968000411987305       4.73
1188    STMEF                               STMicroelectronics NV    220.43                    Semiconductors  2025-01-23 24.600000381469727  2025-01-24 25.700000762939453       4.47
1898    PPRUF                                           Kering SA    303.03  Textiles, Apparel & Luxury Goods    2025-01-23 257.260009765625              2025-01-24 267.75       4.08
3705    PGPEF                                  Publicis Groupe SA    253.32                             Media  2025-01-23 101.05000305175781               2025-01-24 105.0       3.91
3095     LULU                             Lululemon Athletica Inc    507.64  Textiles, Apparel & Luxury Goods   2025-01-23 387.8500061035156   2025-01-24 400.0299987792969       3.14
2383       EL                          Estee Lauder Companies Inc    296.09                 Consumer products   2025-01-23 80.11000061035156    2025-01-24 82.4800033569336       2.96
2148      BAM                     BROOKFIELD ASSET MANAGEMENT LTD    265.72                Financial Services   2025-01-23 58.34000015258789  2025-01-24 59.959999084472656       2.78
3471     CPNG                                         Coupang Inc    405.82                            Retail                2025-01-23 22.0  2025-01-24 22.559999465942383       2.55
4030       BN                                     Brookfield Corp    921.22                Financial Services   2025-01-23 59.56999969482422   2025-01-24 61.06999969482422       2.52
4178      LLY                                    Eli Lilly and Co   7456.02                   Pharmaceuticals   2025-01-23 766.5999755859375   2025-01-24 785.4099731445312       2.45
978     LVMHF                 LVMH Moet Hennessy Louis Vuitton SE   3601.16  Textiles, Apparel & Luxury Goods   2025-01-23 753.6799926757812               2025-01-24 772.0       2.43
123       EDR                         Endeavor Group Holdings Inc    216.26                             Media  2025-01-23 30.899999618530273  2025-01-24 31.610000610351562       2.30
4205    EADSF                                           Airbus SE   1319.12               Aerospace & Defense   2025-01-23 171.3300018310547              2025-01-24 175.25       2.29

=== 市值超过1000亿的涨幅榜前20名股票 ===

