
=== 涨幅榜前20名股票 ===

股票代码           公司名称          市值(亿)               板块                   昨天收盘          今天收盘     涨跌幅(%)
  LRLCF                                           L'Oreal SA   1883.77                 Consumer products   2025-01-23 360.5   2025-01-24 368.0     2.08 
    STZ                             Constellation Brands Inc    330.91                         Beverages   2025-01-23 179.5   2025-01-24 183.1     2.01 
   VRSN                                        VeriSign, Inc    202.51                        Technology  2025-01-23 206.65  2025-01-24 210.73     1.97 
    UAL                         United Airlines Holdings Inc    345.32                          Airlines   2025-01-23 103.0   2025-01-24 105.0     1.94 
    PCG                                            PG&E Corp    362.81                         Utilities   2025-01-23 16.24   2025-01-24 16.54     1.85 
   AVGO                                         Broadcom Inc  11469.96                    Semiconductors  2025-01-23 240.28   2025-01-24 244.7     1.84 

=== 市值超过1000亿的涨幅榜前20名股票 ===

股票代码             公司名称             市值(亿)                 板块                    昨天收盘           今天收盘      涨跌幅(%)
  BABAF         Alibaba Group Holding Ltd   2024.65                            Retail   2025-01-23 10.61   2025-01-24 11.35    6.95  
    NEE                Nextera Energy Inc   1497.68                         Utilities   2025-01-23 69.23   2025-01-24 72.83    5.20  
    LLY                  Eli Lilly and Co   7456.02                   Pharmaceuticals   2025-01-23 766.6  2025-01-24 785.41    2.45  
  EADSF                         Airbus SE   1319.12               Aerospace & Defense  2025-01-23 171.33  2025-01-24 175.25    2.29  
  LRLCF                        L'Oreal SA   1883.77                 Consumer products   2025-01-23 360.5   2025-01-24 368.0    2.08  
   AVGO                      Broadcom Inc  11469.96                    Semiconductors  2025-01-23 240.28   2025-01-24 244.7    1.84  
   SPOT             Spotify Technology SA   1000.41                             Media   2025-01-23 501.5  2025-01-24 510.43    1.78  
   META                Meta Platforms Inc  16345.81                             Media  2025-01-23 636.45  2025-01-24 647.49    1.73  
  ESLOF               EssilorLuxottica SA   1161.30                       Health Care  2025-01-23 261.96  2025-01-24 265.98    1.53  
   SHOP                       Shopify Inc   1391.33                        Technology   2025-01-23 106.1  2025-01-24 107.68    1.49  
     PM   Philip Morris International Inc   1978.99                           Tobacco  2025-01-23 125.43  2025-01-24 127.28    1.47  
   TMUS                   T-Mobile US Inc   2536.48                 Telecommunication  2025-01-23 216.04  2025-01-24 218.57    1.17  
   GOOG                      Alphabet Inc  24597.25                             Media  2025-01-23 199.58   2025-01-24 201.9    1.16  
     FI                        Fiserv Inc   1188.13                Financial Services  2025-01-23 206.49  2025-01-24 208.84    1.14  
  GOOGL                      Alphabet Inc  24597.25                             Media  2025-01-23 197.98  2025-01-24 200.21    1.13  
    DIS                    Walt Disney Co   2031.15                             Media  2025-01-23 111.04  2025-01-24 112.16    1.01  
     VZ        Verizon Communications Inc   1664.49                 Telecommunication   2025-01-23 39.18   2025-01-24 39.54    0.92  
    BMY           Bristol-Myers Squibb Co   1210.21                   Pharmaceuticals   2025-01-23 59.14   2025-01-24 59.67    0.90  
     DE                        Deere & Co   1303.93                         Machinery  2025-01-23 474.72  2025-01-24 478.77    0.85  
  CHDRF                 Christian Dior SE   1199.73  Textiles, Apparel & Luxury Goods  2025-01-23 694.16   2025-01-24 700.0    0.84  
